Locality,AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age
ALEXANDRA HEADLAND,D         ,Freya,BASENJIX  ,BASENJ,BlackWhite,Y,F,3
ALEXANDRA HEADLAND,D         ,Lulu,CHIHUAHUAX,CHIHUA,BlackWhite,Y,F,8
ALEXANDRA HEADLAND,D         ,Maggie,CHIHUAHUAX,CHIHUA,TanWhite  ,Y,F,8
ALEXANDRA HEADLAND,D         ,Marnee,DOBERMANX ,DOBERM,Black     ,Y,F,6
ALEXANDRA HEADLAND,D         ,Marley,CATTLEDOGX,CATTLE,BlackWhite,Y,M,9
ALEXANDRA HEADLAND,D         ,Ayla,PUGX      ,PUG,Tan       ,Y,F,2
ALEXANDRA HEADLAND,D         ,Oscar,BICHONFRS ,BICHON,White     ,Y,M,8
ALEXANDRA HEADLAND,D         ,Moose,COLLBORDR ,COLLBO,Blue      ,Y,M,2
ALEXANDRA HEADLAND,D         ,Merv,CAVOODLE  ,CAVOOD,GoldWhite ,Y,M,3
ALEXANDRA HEADLAND,Cat       ,Leia,DOMSH     ,DOMSH ,BlackWhite,Y,F,9
ALEXANDRA HEADLAND,D         ,Millie Coco,LABRADOODL,LABRAD,Caramel   ,Y,F,2
ALEXANDRA HEADLAND,Cat       ,Cruizer,DOMSH     ,DOMSH ,Black     ,Y,M,5
ALEXANDRA HEADLAND,D         ,Tori,LABRADOR  ,LABRAD,Black     ,Y,F,7
ALEXANDRA HEADLAND,D         ,Bonnie Miller,COLLBORDR ,COLLBO,BlackWhite,Y,F,2
ALEXANDRA HEADLAND,D         ,Maggie,LABRADOR  ,LABRAD,Chocolate ,Y,F,3
ALEXANDRA HEADLAND,D         ,Romeo,POODLETOY ,POODLE,Black     ,Y,M,9
ALEXANDRA HEADLAND,D         ,Rosie,POODLETOY ,POODLE,Apricot   ,Y,F,8
ALEXANDRA HEADLAND,D         ,Tinker,MIXED     ,MIXED ,Cream     ,Y,F,11
ALEXANDRA HEADLAND,D         ,Bruce,DACHSHUNDM,DACHSH,RedBrown  ,Y,M,2
ALEXANDRA HEADLAND,D         ,Gracie,SPOODLE   ,SPOODL,LiverWhite,Y,F,3
ALEXANDRA HEADLAND,D         ,Cola,COLLBORDR ,COLLBO,BlackWhite,Y,F,13
ALEXANDRA HEADLAND,D         ,Apache,CHIHUAHUAX,CHIHUA,TriColour ,N,M,4
ALEXANDRA HEADLAND,D         ,Eric,BOXERX    ,BOXER,White     ,Y,M,3
ALEXANDRA HEADLAND,D         ,Loki,CATTLEDOGX,CATTLE,WhiteBlack,Y,M,2
ALEXANDRA HEADLAND,D         ,Ruby Martin,JACKRUSSL ,JACKRU,WhiteTan  ,Y,F,8
ALEXANDRA HEADLAND,D         ,Charlie,MALTESE   ,MALTES,White     ,Y,M,5
ALEXANDRA HEADLAND,D         ,Molly,MALTESE   ,MALTES,White     ,Y,F,4
ALEXANDRA HEADLAND,D         ,Minnie Do,POMERANIA ,POMERA,Orange    ,Y,F,4
ALEXANDRA HEADLAND,D         ,Jax,COLLBORDR ,COLLBO,BlackWhite,Y,M,6
ALEXANDRA HEADLAND,D         ,Pip,LABRADORX ,LABRAD,Black     ,Y,M,2
ALEXANDRA HEADLAND,D         ,Darwin,STAFFRDBT ,STAFFR,Black     ,Y,M,2
ALEXANDRA HEADLAND,D         ,Macie,KELPIEAUS ,KELPIE,Brown     ,Y,F,2
ALEXANDRA HEADLAND,D         ,Boss,STAFFRDBT ,STAFFR,Blue      ,N,M,3
ALEXANDRA HEADLAND,Cat       ,Benji,TABBY     ,TABBY ,Black     ,Y,M,2
ALEXANDRA HEADLAND,D         ,Milo,LABRADOODL,LABRAD,Brown     ,Y,M,10
ALEXANDRA HEADLAND,D         ,Chief,STAFFRDAM ,STAFFR,BrownWhite,Y,M,1
ALEXANDRA HEADLAND,D         ,William,PINSCHRMN ,PINSCH,BlackBroWh,Y,M,3
ALEXANDRA HEADLAND,Cat       ,Wally,TONKINESE ,TONKIN,Brown     ,Y,M,3
ALEXANDRA HEADLAND,D         ,Toby,RETRIEVGD ,RETRIE,White     ,Y,M,2
ALEXANDRA HEADLAND,D         ,Charlie,KELPIEAUS ,KELPIE,BlackTan  ,Y,F,5
ALEXANDRA HEADLAND,D         ,Gracie,LABRADOODL,LABRAD,CaramelWht,Y,F,4
ALEXANDRA HEADLAND,Cat       ,Snuffles,TABBY     ,TABBY ,Tabby     ,Y,F,14
ALEXANDRA HEADLAND,D         ,Barry,STAFFRDBT ,STAFFR,WhiteBlack,Y,M,4
ALEXANDRA HEADLAND,Cat       ,JJ,DOMSH     ,DOMSH ,Black     ,Y,F,2
ALEXANDRA HEADLAND,D         ,Charlie,SCHNAUZMN ,SCHNAU,WhiteBlack,Y,F,8
ALEXANDRA HEADLAND,D         ,Coco,SCHNAUZMN ,SCHNAU,BlackGrey ,Y,F,8
ALEXANDRA HEADLAND,D         ,Leo,SHIHTZU   ,SHIHTZ,TriColour ,Y,M,2
ALEXANDRA HEADLAND,Cat       ,Corfu,DOMSH     ,DOMSH ,Grey      ,Y,F,1
ALEXANDRA HEADLAND,D         ,Ollie,LABRADORX ,LABRAD,White     ,Y,M,2
ALEXANDRA HEADLAND,D         ,Ayla,MALTESE   ,MALTES,Caramel   ,Y,F,1
ALEXANDRA HEADLAND,D         ,Pookie,SHIHTZUX  ,SHIHTZ,Black     ,Y,M,12
