Locality,AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age
ALEXANDRA HEADLAND,D         ,Bobby,SCHNAUZER ,SCHNAU,Black     ,Y,M,6
ALEXANDRA HEADLAND,D         ,Fletcher,LABRADORX ,LABRAD,Gold      ,Y,M,6
ALEXANDRA HEADLAND,D         ,Charlie,JACKRUSSL ,JACKRU,TriColour ,Y,M,6
ALEXANDRA HEADLAND,D         ,Tiki,SCHNAUZMN ,SCHNAU,Black     ,Y,M,6
ALEXANDRA HEADLAND,D         ,Jessie,MASTIFFX  ,MASTIF,Tan       ,Y,F,10
ALEXANDRA HEADLAND,D         ,Marley,SPANIELCKX,SPANIE,Black     ,Y,M,7
ALEXANDRA HEADLAND,Cat       ,Mindy,SIAMESE   ,SIAMES,White     ,Y,F,6
ALEXANDRA HEADLAND,Cat       ,Snickers,RAGDOLL   ,RAGDOL,BlackWhite,Y,F,9
ALEXANDRA HEADLAND,D         ,Diesel,MALTESEX  ,MALTES,Beige     ,Y,M,9
ALEXANDRA HEADLAND,D         ,Buddy,SPOODLE   ,SPOODL,Gold      ,Y,M,6
ALEXANDRA HEADLAND,Cat       ,Gorgeous Ebony,DOMSH     ,DOMSH ,Tabby     ,Y,F,6
ALEXANDRA HEADLAND,D         ,Ty,STAFFRDBT ,STAFFR,Brindle   ,Y,M,10
ALEXANDRA HEADLAND,D         ,Charlie,DACHSHSHM ,DACHSH,BlackTan  ,Y,M,6
ALEXANDRA HEADLAND,D         ,Ruby,TERRIERTN ,TERRIE,Red       ,Y,F,7
ALEXANDRA HEADLAND,D         ,Remi,SPOODLE   ,SPOODL,Cream     ,Y,F,6
ALEXANDRA HEADLAND,D         ,Bob,MALTESE   ,MALTES,White     ,Y,M,6
ALEXANDRA HEADLAND,D         ,Tilly,MOODLE    ,MOODLE,White     ,Y,F,5
ALEXANDRA HEADLAND,D         ,Lewis,LABRADORX ,LABRAD,Black     ,Y,M,6
ALEXANDRA HEADLAND,D         ,Ruby,SPANIELCK ,SPANIE,Brown     ,Y,F,6
ALEXANDRA HEADLAND,Cat       ,Vince,DOMSH     ,DOMSH ,GreyWhite ,Y,M,9
ALEXANDRA HEADLAND,Cat       ,Benson,DOMSH     ,DOMSH ,Tabby     ,Y,M,6
ALEXANDRA HEADLAND,Cat       ,Buttons,DOMSH     ,DOMSH ,Tabby     ,Y,M,6
ALEXANDRA HEADLAND,D         ,Milly,CAVOODLE  ,CAVOOD,Cream     ,Y,F,6
ALEXANDRA HEADLAND,D         ,Chilli,STAFFRDBTX,STAFFR,Unknown   ,Y,F,13
ALEXANDRA HEADLAND,D         ,Link,TERRIERSI ,TERRIE,GreyTan   ,Y,M,14
ALEXANDRA HEADLAND,D         ,Winnie,MALTESEX  ,MALTES,WhiteFawn ,Y,F,6
ALEXANDRA HEADLAND,D         ,Milly,SHIHTZU   ,SHIHTZ,BlackWhite,Y,F,8
ALEXANDRA HEADLAND,D         ,Hank,MALTESEX  ,MALTES,Apricot   ,Y,M,6
ALEXANDRA HEADLAND,Cat       ,Annika,DOMSH     ,DOMSH ,Ginger    ,Y,F,7
ALEXANDRA HEADLAND,D         ,Missy,MALTESEX  ,MALTES,BeigeWhite,Y,F,13
ALEXANDRA HEADLAND,Cat       ,Angel,DOMSH     ,DOMSH ,Tabby     ,Y,F,5
ALEXANDRA HEADLAND,D         ,Molly,SHIHTZUX  ,SHIHTZ,TriColour ,Y,F,5
ALEXANDRA HEADLAND,D         ,Frank,PUG       ,PUG   ,Fawn      ,Y,M,5
ALEXANDRA HEADLAND,D         ,Austin,FOXTERRMN ,FOXTER,BlackTan  ,N,M,9
ALEXANDRA HEADLAND,D         ,Alex,SCHNOODLE ,SCHNOO,BlackWhite,Y,M,5
ALEXANDRA HEADLAND,D         ,Trad,COLLBORDR ,COLLBO,BlackWhite,N,M,8
ALEXANDRA HEADLAND,D         ,Velo,VIZSLA    ,VIZSLA,Gold      ,Y,F,5
ALEXANDRA HEADLAND,D         ,Archer,RETRIEVFL ,RETRIE,Black     ,Y,M,8
ALEXANDRA HEADLAND,D         ,Sapphire,BEAGLEX   ,BEAGLE,TriColour ,Y,F,5
ALEXANDRA HEADLAND,D         ,Bailey,BEAGLEX   ,BEAGLE,TriColour ,Y,F,5
ALEXANDRA HEADLAND,D         ,Bowie,STAFFRDBT ,STAFFR,Brindle   ,Y,M,6
ALEXANDRA HEADLAND,D         ,Molly,PUG       ,PUG   ,Tan       ,Y,F,11
ALEXANDRA HEADLAND,D         ,Gizzy,SHIHTZU   ,SHIHTZ,BlackWhite,Y,M,10
ALEXANDRA HEADLAND,D         ,Molly,STAFFRDBTX,STAFFR,Black     ,Y,F,5
ALEXANDRA HEADLAND,D         ,Sunny,CATTLEDOGX,CATTLE,BlueWhite ,Y,F,5
ALEXANDRA HEADLAND,D         ,Chloe Francis,BICHONFRS ,BICHON,White     ,Y,F,6
ALEXANDRA HEADLAND,D         ,Keeley,LABRADOR  ,LABRAD,Black     ,Y,F,10
ALEXANDRA HEADLAND,D         ,Bodhi,CAVOODLE  ,CAVOOD,Black     ,Y,M,6
ALEXANDRA HEADLAND,Cat       ,Prince,CHEETOH   ,CHEETO,GoldBlack ,Y,M,10
ALEXANDRA HEADLAND,D         ,Molly,SPANIELSP ,SPANIE,LiverWhite,Y,F,9
ALEXANDRA HEADLAND,D         ,Banjo,KELPIEAUS ,KELPIE,RedTan    ,N,M,4
ALEXANDRA HEADLAND,D         ,Sassa,TERRIER   ,TERRIE,TriColour ,Y,M,6
ALEXANDRA HEADLAND,D         ,Narnia,TERRIERSI ,TERRIE,BlackTanSi,Y,F,13
ALEXANDRA HEADLAND,D         ,Kirra,ROTTWEILR ,ROTTWE,BlackBrown,Y,F,11
ALEXANDRA HEADLAND,Cat       ,Rosie,RAGDOLL   ,RAGDOL,TriColour ,Y,F,5
ALEXANDRA HEADLAND,Cat       ,Fanta,RAGDOLL   ,RAGDOL,Ginger    ,Y,M,5
ALEXANDRA HEADLAND,D         ,Clay,BOXER     ,BOXER ,BrindlWhit,Y,M,4
ALEXANDRA HEADLAND,Cat       ,Maddy,DOMSH     ,DOMSH ,BlackWhite,Y,F,15
ALEXANDRA HEADLAND,Cat       ,Missy,TABBY     ,TABBY ,Ginger    ,Y,F,15
ALEXANDRA HEADLAND,D         ,Coie,JACKRUSMNX,JACKRU,WhiteBlack,Y,F,12
ALEXANDRA HEADLAND,D         ,macy,FOXTERRIEX,FOXTER,BlackWhite,Y,F,4
ALEXANDRA HEADLAND,D         ,George,STAFFRDBT ,STAFFR,Brown     ,Y,M,5
ALEXANDRA HEADLAND,D         ,Hercules,CATTLEDOGX,CATTLE,Red       ,Y,M,5
ALEXANDRA HEADLAND,D         ,Zen,HUSKY     ,HUSKY ,BlackGreyW,Y,M,4
ALEXANDRA HEADLAND,D         ,Tudor Rose,SPANIELCV ,SPANIE,Ruby      ,Y,F,4
ALEXANDRA HEADLAND,D         ,Lexi,CHIHUAHUAX,CHIHUA,Gold      ,Y,F,5
ALEXANDRA HEADLAND,D         ,Paris,STAFFRDAM ,STAFFR,Black     ,Y,F,5
ALEXANDRA HEADLAND,Cat       ,Molly,DOMSH     ,DOMSH ,Tortoise  ,Y,F,4
ALEXANDRA HEADLAND,D         ,Willow,BOXER     ,BOXER ,TanWhite  ,Y,F,4
ALEXANDRA HEADLAND,Cat       ,Leo,DOMSH     ,DOMSH ,Ginger    ,Y,M,5
ALEXANDRA HEADLAND,D         ,Wally,HEELER    ,HEELER,RedRoan   ,Y,M,4
ALEXANDRA HEADLAND,D         ,Tilly,CAVOODLE  ,CAVOOD,CreamTan  ,Y,F,4
ALEXANDRA HEADLAND,Cat       ,Harlee,DOMSH     ,DOMSH ,Black     ,Y,F,4
ALEXANDRA HEADLAND,D         ,Bear,COLLBORDR ,COLLBO,Black     ,Y,M,6
ALEXANDRA HEADLAND,D         ,Toby,MALTESEX  ,MALTES,Grey      ,Y,M,8
ALEXANDRA HEADLAND,D         ,Ollie,COLLBORDR ,COLLBO,BlackWhite,Y,M,4
ALEXANDRA HEADLAND,D         ,Floyd,HUSKY     ,HUSKY ,GreyWhite ,Y,M,4
ALEXANDRA HEADLAND,D         ,Smartie,GROODLE   ,GROODL,Cream     ,Y,F,6
ALEXANDRA HEADLAND,D         ,Louis,JACKRUSSLX,JACKRU,White     ,Y,M,6
ALEXANDRA HEADLAND,D         ,Maggie,SCHNAUZMN ,SCHNAU,SilverBlac,Y,F,4
